doc_id,stock_code,company_name,year_range,year_list,valid_year_count,rank,term,tfidf_weight
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,4,生物医药 产业,0.09096820550993294
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,5,新材料 新能源汽车,0.08953222212292589
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,6,负极材料,0.08488362777424759
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,7,材料 新能源汽车,0.08339233511131405
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,8,涉及 药品,0.0777125040753993
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,9,服务 有机,0.07443933838455029
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,10,零件 制造,0.07228968504751448
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,11,三板,0.07218478473426311
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,12,锂电池 负极材料,0.07155993421742188
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,13,高新技术 产业,0.07113040776538744
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,14,精密 金属,0.07087313545605814
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,15,诊疗 服务,0.06750920255662575
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,16,连接器,0.06723149960048025
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,17,西药,0.06585153563068344
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,18,锂离子电池,0.06540004820229882
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,19,进入 新能源汽车,0.06488753589645581
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,20,价值 延伸,0.06472251873193786
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,1,建筑施工,0.10560746413236843
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,2,全国 省份,0.10519305939134206
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,3,行业 表现,0.09945300810003407
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,4,专业 工程,0.09748869858126541
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,5,生态 环保,0.09403348544491981
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,6,深交所,0.09124457217571431
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,7,业务 市场化,0.0909483806051337
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,8,管理 统筹,0.08846186711199687
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,9,经营 特点,0.08789243653076675
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,10,经济 实力,0.08613547847021817
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,11,主板,0.08536831347952674
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,12,制定 发展,0.08460844295576922
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,13,合作 自主,0.08363054301830668
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,14,加大 业务,0.08324838983111742
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,15,充分利用 资本,0.0828887843398023
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,16,出台 行业,0.08195351365705981
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,17,管理 为主,0.08165485438372287
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,18,工程 运营,0.08136235347449586
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,19,业务 精细化,0.08053225067061065
000010_5Y,000010,美丽生态,2020-2024,"2020,2021,2022,2023,2024",5,20,采取措施,0.0803764000971429
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,1,国贸,0.11249316721105046
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,2,物管,0.09436065962997156
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,3,生态 运营,0.09377970919160744
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,4,产城,0.09341207628339498
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,5,大厦,0.08484257620438043
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,6,科技园区,0.08129839899004038
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,7,空间 开发,0.08084158665675628
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,8,园区运营 服务,0.07913384478130828
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,9,前身,0.07855993837696626
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,10,物业管理,0.07734258520902179
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,11,城市更新,0.07516240249751145
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,12,监理,0.07376193928910728
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,13,园区运营,0.0734132384946023
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,14,房地产 经营,0.07332186777013976
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,15,抵押 贷款,0.07140815542048659
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,16,物业管理 服务,0.06990431309038021
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,17,股份制,0.06849105835941241
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,18,改革开放,0.06842541432534739
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,19,监理 业务,0.06791533408459953
000011_5Y,000011,深物业A,2020-2024,"2020,2021,2022,2023,2024",5,20,荣耀,0.0675396416173337
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,1,工程 玻璃,0.10409261841015165
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,2,电子 玻璃,0.09934549166691392
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,3,浮法玻璃,0.09160945687477029
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,4,光伏玻璃,0.08899733849881364
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,5,节能 玻璃,0.08248746114276188
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,6,玻璃 业务,0.08010497818921944
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,7,玻璃产品,0.07723034505605986
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,8,原片,0.07040578884378582
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,9,ITO 导电,0.06923303326481112
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,10,玻璃,0.06712357757802594
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,11,ITO,0.06319470994532858
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,12,玻璃 行业,0.061705683577669965
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,13,清远,0.060425518094326586
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,14,窑炉,0.06015541507516191
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,15,触控,0.059791061327514876
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,16,显示器,0.05812217020448996
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,17,盖板,0.05781642218625108
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,18,著名品牌,0.05739302509898641
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,19,宜昌,0.05610354090416607
000012_5Y,000012,南玻A,2020-2024,"2020,2021,2022,2023,2024",5,20,触控 显示,0.054330967721466034
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,1,楼盘,0.14433640778713983
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,2,世纪,0.1281707239577432
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,3,并未 发生,0.12126846540650683
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,4,从事 房地产开发,0.12054989675800232
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,5,股本,0.110823874285229
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,6,过程 重要,0.110823874285229
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,7,房地产开发 经营,0.11040540009221998
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,8,我国 房地产,0.10881783015714422
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,9,客户 赢得,0.10840669008764679
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,10,居住,0.10773627285119586
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,11,用房,0.10728296868827612
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,12,长沙市,0.10572267417596846
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,13,换挡,0.10523217304999696
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,14,领先 位置,0.10339767383919143
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,15,运营 理念,0.10324545651324833
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,16,广场,0.10241146293007383
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,17,峰值,0.10134687820091229
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,18,新城,0.10109785181245565
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,19,获得 全国,0.1005897311516864
000014_5Y,000014,沙河股份,2020-2024,"2020,2021,2022,2023,2024",5,20,锤炼,0.10022315680154159
000016_5Y,000016,深康佳A,2020-2024,"2020,2021,2022,2023,2024",5,1,BUSINESS,0.11659837472950416
000016_5Y,000016,深康佳A,2020-2024,"2020,2021,2022,2023,2024",5,2,半导体 业务,0.09623297709787232
000016_5Y,000016,深康佳A,2020-2024,"2020,2021,2022,2023,2024",5,3,B2B,0.09296083156390897
000016_5Y,000016,深康佳A,2020-2024,"2020,2021,2022,2023,2024",5,4,经营部,0.09114248430279205
000016_5Y,000016,深康佳A,2020-2024,"2020,2021,2022,2023,2024",5,5,营业 来源于,0.09104796781511668
000016_5Y,000016,深康佳A,2020-2024,"2020,2021,2022,2023,2024",5,6,洗衣机,0.08928089302954242
000016_5Y,000016,深康佳A,2020-2024,"2020,2021,2022,2023,2024",5,7,冷柜,0.08914307118065214
000016_5Y,000016,深康佳A,2020-2024,"2020,2021,2022,2023,2024",5,8,冰箱,0.08828886120845393
000016_5Y,000016,深康佳A,2020-2024,"2020,2021,2022,2023,2024",5,9,缩写,0.0875722712202984
000016_5Y,000016,深康佳A,2020-2024,"2020,2021,2022,2023,2024",5,10,价差,0.08727535542222772
