company_name,stock_code_norm,盈利能力指标_score_5y_mean,盈利能力指标_score_2024,盈利能力指标_score_change,盈利能力指标_score_volatility,资产使用效率_score_5y_mean,资产使用效率_score_2024,资产使用效率_score_change,资产使用效率_score_volatility,流动性指标_score_5y_mean,流动性指标_score_2024,流动性指标_score_change,流动性指标_score_volatility,现金创造能力指标_score_5y_mean,现金创造能力指标_score_2024,现金创造能力指标_score_change,现金创造能力指标_score_volatility,偿债能力_score_5y_mean,偿债能力_score_2024,偿债能力_score_change,偿债能力_score_volatility,股东收益指标_score_5y_mean,股东收益指标_score_2024,股东收益指标_score_change,股东收益指标_score_volatility,composite_score_5y_mean,composite_score_2024,composite_score_change,composite_score_volatility,盈利能力指标_score_trend_label,资产使用效率_score_trend_label,流动性指标_score_trend_label,现金创造能力指标_score_trend_label,偿债能力_score_trend_label,股东收益指标_score_trend_label,composite_score_trend_label
艾比森,300389.0,0.47998705522802476,0.5083403185247276,0.21825378180006422,0.2128411629624671,0.7083761087822784,0.7991203104786546,0.20131616897736038,0.06512866087686328,0.41126438607799487,0.3342190723573978,-0.2676976980993705,0.1246650187747953,0.6922187215606885,0.5606806806806808,0.23338856980648037,0.2180982518101549,0.36795006161048704,0.3866666666666666,0.08895210505284229,0.035156330006813716,0.6010995564340611,0.577609261674855,0.13827695578860433,0.09675776652601609,0.5434826482822558,0.5277727183971638,0.10208164722099689,0.06598590049764563,波动较大,持续领先,其他,波动较大,持续落后,其他,其他
艾罗能源,688717.0,0.7194694758754462,0.415795878160431,-0.2538329212579599,0.18876973863212831,0.7084597484200567,0.5878671479188052,-0.06404075600522774,0.08586162750463956,0.4385443267958114,0.8347264170822505,0.7115028722972094,0.33484253218384596,0.7873435544022542,0.846860863802691,,0.05951730940043676,0.41271212440697375,0.6086956521739131,0.30395336944150997,0.18438103340764203,0.8200877160797294,0.7354135273975541,,0.08467418868217536,0.5831556486310432,0.6715599144226075,0.23418428170764055,0.14876729730776264,优势收窄,优势收窄,波动较大,持续领先,改善追赶,持续领先,改善追赶
艾艾精工,603580.0,0.4305410953445433,0.2754358525228411,-0.27152472173595255,0.1353263583594055,0.26634347559497323,0.239820473644003,-0.09704870025506479,0.0633279634765843,0.6735376510292809,0.6064113746764529,-0.3382570253217675,0.14755350285237379,0.5982048791771686,0.4680756724800473,-0.13479514091708195,0.15664187374351624,0.6088883719113554,0.3985318996597257,-0.2750430067369841,0.10663671703469631,0.439248003017293,0.3642056340008717,-0.16465963353472413,0.05891595909364265,0.5027939126791023,0.3920801511639903,-0.21355470475026261,0.07515678975977712,其他,持续落后,持续领先,其他,优势收窄,其他,其他
艾迪精密,603638.0,0.6640393472909392,0.6923833058228841,-0.014843753197171572,0.05662567985443457,0.27309099265247233,0.1803271904039657,-0.22363102000585752,0.11293892507695026,0.35686921225317203,0.3219003054881381,-0.15583438842470604,0.0786408589346562,0.2757506062089149,0.2390914196062084,-0.12096472743547804,0.10651756591198352,0.5092418223511822,0.4131496969349303,-0.22278310729413142,0.1107179674954448,0.38335217473919625,0.251954413562251,-0.3086373311847094,0.11035455429259988,0.4103906925826462,0.349801055303063,-0.17444905459034238,0.07661713265366718,持续领先,持续落后,持续落后,持续落后,其他,持续落后,其他
艾迪药业,688488.0,0.54337268335637,0.4758252802243404,-0.20408086076504978,0.07808345147397222,0.38420079689499514,0.349303654805792,-0.08274036688171349,0.07390125444488327,0.4157946570206136,0.2456905110053267,-0.4167436046103907,0.20872230995715618,0.5106922272166308,0.3354688846018197,-0.45020262648843645,0.20549687170096873,0.5525036586634965,0.6033413548954427,-0.16162721183513618,0.18202891603356297,0.37131815439507454,0.3546542253973523,-0.1302207798831993,0.0669107983638941,0.46298036292453004,0.3940473184883457,-0.24093590841065432,0.10260864259174504,其他,持续落后,波动较大,波动较大,其他,持续落后,其他
艾隆科技,688329.0,0.7957569120427733,0.5845262440354466,-0.2861564916120951,0.13406871388357147,0.33963503674226747,0.26177902039971,-0.07257438743104999,0.09190572374265658,0.37238070150088803,0.2871277855024551,-0.08083729620813229,0.07210048253256529,0.75976526986161,0.5450459190272927,-0.36602511315916686,0.1645314345452675,0.6446151916734267,0.585786437626905,-0.07378146029337374,0.08488919678097455,0.8637791599935282,0.93905271949742,-0.060947280502580026,0.09291839796920867,0.6293220453024155,0.5338863543482049,-0.15672033820106623,0.0740055174464068,优势收窄,持续落后,持续落后,优势收窄,优势收窄,持续领先,优势收窄
节能国祯,300388.0,0.6577752539980013,0.8233814213833244,0.4382967337421447,0.15880501762319477,0.7202270330751716,0.7114249394607436,0.048063948415332125,0.037917781339132525,0.20407284205264192,0.11569498972484,-0.199676711142252,0.07369483824001875,0.7797814875800926,0.7922758867151367,-0.10388648374989118,0.11851379946317252,0.4005190442715332,0.5495015087044923,0.23561952183679935,0.09328281805067402,0.4896874942568826,0.4903653486362551,-0.003948249583972219,0.020714129200916635,0.5420105258723872,0.5804406824374654,0.06907812658636014,0.022701913295158867,持续领先,持续领先,持续落后,持续领先,改善追赶,其他,其他
节能环境,300140.0,0.28447977908839117,0.5384524070421507,0.4548250911643874,0.21594990274425685,0.28123549632518796,0.2350945757539163,-0.0939870688574081,0.03904212387024315,0.7770693789482978,0.8499893215452158,0.13112388806449438,0.06871338709499888,0.5219200040380294,0.7821103627555241,0.5479070660522276,0.23128638553463632,0.40289745089394574,0.5641025641025642,0.3123464133998936,0.12250718961825642,0.38895416889471135,0.5110344338376116,0.2881315276476546,0.13280515868598072,0.4427593796980938,0.5801306108394971,0.27339115291187494,0.11829213221925117,波动较大,持续落后,持续领先,波动较大,改善追赶,改善追赶,改善追赶
节能铁汉,300197.0,0.3623389365576387,0.1437237412480576,-0.334713354924577,0.12178391403125378,0.3363608809504116,0.247281971911329,-0.18452177576713968,0.08438192132371752,0.2102627411872886,0.1606730475794953,0.023817039576910393,0.06209577624474814,0.5014558749254067,0.4752184673313247,0.19381806366729742,0.12685923445367359,0.44934152109171566,0.3307387986020424,-0.09771839597098636,0.07050640005402066,0.4771790831683112,0.3879274820416665,-0.14251922216326363,0.04749810355207925,0.3894898396467954,0.2909272514523193,-0.09030627426362631,0.05492995633521576,持续落后,持续落后,持续落后,其他,其他,其他,持续落后
节能风电,601016.0,0.7559468822948104,0.8237015970095288,0.1815462151236057,0.09123847910401028,0.3066828841808452,0.4081023216185062,0.16768606150322718,0.08699686896760918,0.606314854183374,0.6187870458118345,0.019957425896604875,0.07748461710787838,0.7339179425866056,0.8311910599406671,0.30666198750205376,0.1080525357224811,0.5053920804124871,0.5687829784473529,0.15537956761196092,0.07237350474775102,0.2840150941873951,0.2626500694664162,-0.0011113748338851814,0.03163399167245373,0.5320449563075862,0.5855358453823843,0.13835331380059457,0.06034405967251248,持续领先,其他,持续领先,持续领先,其他,持续落后,其他
芒果超媒,300413.0,0.9303921367460599,0.9095996216897856,-0.0449148793533406,0.028276465181659827,0.7793183064024132,0.7022394297915171,-0.18875356076627803,0.07211707028899172,0.5894566406250247,0.544677981943626,0.11920522355086477,0.09551625848714462,0.4971454511607277,0.3846153846153846,-0.26527287067645045,0.09076742132516116,0.5652422824580096,0.6025641025641025,0.08607853196822746,0.030048383244655287,0.7182917193607725,0.6201648298453357,-0.20555950334049233,0.06545980165391352,0.6799744227921679,0.6273102250749586,-0.0832028431029116,0.029319344181112844,持续领先,持续领先,其他,其他,其他,持续领先,持续领先
芭田股份,2170.0,0.4949119702146049,0.8579968171871892,0.40257291064165274,0.26945973869791584,0.31458366703068735,0.1999572139527551,-0.06055997305449809,0.07271302720864489,0.24933167669026476,0.4422694600378913,0.1578837919236999,0.11316579154717014,0.5462056892264158,0.7329166666666667,-0.0289880952380952,0.17633854628120826,0.4829250227971329,0.4497043844961388,-0.13321852152675018,0.10775609766177609,0.3678155843031191,0.4877837546856303,0.14401471930162268,0.0687874703943595,0.40929560171037077,0.5284380495043786,0.08028413867460527,0.08742741670294238,波动较大,持续落后,其他,其他,其他,其他,其他
芯动联科,688582.0,0.9579547691698721,0.9872514299015696,0.0678214731318848,0.028235934303260424,0.3722062858462455,0.3386524822695036,-0.020415379090501895,0.03570679507088334,0.895466086279713,0.9943950315048792,0.12141472659259167,0.09783931018081056,0.4535185480619895,0.5944194885970974,,0.14090094053510788,0.8576655979358982,0.6805555555555555,-0.29861111111111116,0.14555198684961146,0.5494810589208935,0.6090945616928677,,0.05961350277197419,0.7373914152428649,0.7007280915869121,-0.08193310584024904,0.06536234626272716,持续领先,持续落后,持续领先,其他,持续领先,其他,持续领先
芯原股份,688521.0,0.21016154599441297,0.1401858727038897,-0.0757536786317149,0.05004443707681031,0.5421168577077425,0.4689065354013808,-0.12004927649908875,0.05828614493202807,0.2857703141810795,0.1454622597043493,-0.3112795912127132,0.11751419491283747,0.3826830827371504,0.2366048218624902,-0.24615379882716498,0.1737080712412751,0.3976386865801115,0.2785156286830376,-0.15350600956784682,0.061860444101749484,0.2854385711081129,0.1471065554815305,0.006597192956868919,0.13164033272126613,0.350634843051435,0.2361302789727797,-0.1500241936302766,0.07459920693781458,持续落后,其他,持续落后,持续落后,持续落后,持续落后,持续落后
芯导科技,688230.0,0.7940663478750214,0.880686533383629,-0.09762206698683695,0.1575148957094909,0.7526163060032522,0.6810479175996417,-0.2612608523639335,0.1052402779716101,0.8336022256906613,0.8735052126210374,0.4581097233566637,0.2123093066567424,0.5305889799076741,0.632979109089667,,0.07969647843305504,0.6835670950924253,0.68,-0.005740793145370682,0.008909434938107579,0.6876051091153963,0.7376056515241936,,0.06577206669656661,0.7234304351923659,0.7476374040363615,-0.007801009149584925,0.027926543219538105,持续领先,持续领先,波动较大,其他,持续领先,持续领先,持续领先
