code,shortname,accper,typrep,总资产利润率ROA,权益资本利润率ROE,息税前利润EBIT,息税折旧摊销前收入EBITDA,投入资本利润率ROIC,营业利润率,销售利润率,EBITDA利润率,总资产盈利能力,应收账款周转率,应收账款周转天数,存货周转率,存货周转天数,应付账款周转率,营运资本周转率,固定资产周转率,总资产周转率,流动比率,速动比率,现金比率,营运资本,利息保障倍数,现金流利息保障倍数,资产负债率,长期负债权益比率,营运资本需求量比率,营运资本周转天数,销售创现率,利润创现率_净利润,利润创现率_息税前利润,总资产创现率,每股分红,总资产负债率,每股收益,每股净资产,市盈率,权益资产比,权益负债比,每股经营现金流,stock_code_norm,company_name,model_level1_code,model_level2_code,model_level3_code,industry_code
7,全新好,2024,A,0.177086,0.29473,56944235.93,63402458.92,0.228451,0.132476,0.18373133,0.20633715,0.17861721,14.651614,24.980183,8.354312,43.809712,11.655674,3.125402,6.812156,0.963834,1.873582,1.595212,0.906185,98315671.48,,,0.399157,0.076796,0.30838716,116.78497,0.6506139,3.5411158,3.5107689,0.62708372,0,0.399157,0.162957,0.552904,43.140142,0.60084236,1.505282,0.57704961,7,全新好,L1_017,L1_017_S01,L1_017_S01_S01,L1_017_S01_S01
8,神州高铁,2019,A,0.037977,0.060373,641350972.8,735415978.6,0.054076,0.170799,0.14204855,0.22837992,0.05324826,0.890185,410.027129,1.934192,188.70929,1.66836,1.280058,7.255405,0.267353,1.613198,1.404757,0.288119,2515621802,6.773991,0.056183,0.370962,0.048255,0.20885988,285.14334,0.001651877,0.011628959,0.008293867,0.000441634,0.01,0.370962,0.164491,2.724573,22.068035,0.62903762,1.695697,0.001912859,8,神州高铁,L1_010,L1_010_S03,L1_010_S03_S01,L1_010_S03_S01
8,神州高铁,2020,A,-0.069531,-0.133757,-739447473.5,-629934032.4,-0.068749,-0.446822,-0.46516922,-0.32851511,-0.057641845,0.644161,568.180936,1.099104,332.998515,1.252823,1.20428,4.256311,0.149476,1.347237,1.110978,0.156191,1592253254,-5.764925,4.054361,0.480167,0.236067,0.12412026,303.08566,0.27120417,-0.58302259,-0.70328075,0.0405384,,0.480167,-0.320761,2.398083,,0.5198316,1.082608,0.18701091,8,神州高铁,L1_010,L1_010_S03,L1_010_S03_S01,L1_010_S03_S01
8,神州高铁,2021,A,-0.111377,-0.258387,-1162083923,-1025057134,-0.117612,-0.609426,-0.62253112,-0.46282059,-0.09387181,0.794194,459.585441,1.319795,276.558102,1.11654,3.877741,5.367138,0.178909,1.103128,0.901543,0.177488,571158480.1,-6.042726,2.38557,0.568954,0.28204,0.04613753,94.126968,0.20713875,-0.33273637,-0.39478374,0.037059065,,0.568954,-0.495824,1.918921,,0.43104562,0.757612,0.16497868,8,神州高铁,L1_010,L1_010_S03,L1_010_S03_S01,L1_010_S03_S01
8,神州高铁,2022,A,-0.075325,-0.189114,-719658267.5,-596041123.2,-0.07887,-0.504115,-0.47788119,-0.33618554,-0.063980512,0.76131,479.43676,1.086052,336.079672,0.843858,,4.068855,0.157623,0.858905,0.679782,0.085207,-830962090.6,-4.055641,3.23096,0.601696,0.196099,-0.073875874,,0.32337114,-0.67667687,-0.79665834,0.05097061,,0.601696,-0.304683,1.611106,,0.39830324,0.661969,0.20617191,8,神州高铁,L1_010,L1_010_S03,L1_010_S03_S01,L1_010_S03_S01
8,神州高铁,2023,A,-0.077376,-0.225612,-665317652,-539470648.7,-0.084481,-0.332527,-0.32826069,-0.21478754,-0.062439155,1.034596,352.794714,2.381498,153.264878,1.498265,,4.895386,0.235715,0.758595,0.634491,0.054073,-1550670901,-3.981847,0.185945,0.65704,0.158037,-0.14552836,,0.01237003,-0.037683554,-0.046698235,0.002915798,,0.65704,-0.30352,1.345319,,0.34296024,0.521977,0.011437713,8,神州高铁,L1_010,L1_010_S03,L1_010_S03_S01,L1_010_S03_S01
8,神州高铁,2024,A,-0.057348,-0.183719,-373403050.6,-281145562.1,-0.057536,-0.31076,-0.27426639,-0.13503549,-0.037500571,0.985622,371.339114,2.188495,167.238216,1.142964,,4.319208,0.209095,0.822038,0.688089,0.124329,-964457462.5,-2.292487,2.240984,0.687851,0.459972,-0.096859701,,0.17531794,-0.63922501,-0.97753382,0.036658078,,0.687851,-0.210216,1.144225,,0.31214884,0.453803,0.13437533,8,神州高铁,L1_010,L1_010_S03,L1_010_S03_S01,L1_010_S03_S01
9,中国宝安,2019,A,0.023564,0.066481,1651113826,2202475382,0.048541,0.096078,0.059575927,0.1843272,0.054654896,6.182423,59.038341,0.847616,430.619526,3.391061,1.617515,2.562288,0.395525,1.600159,0.856968,0.42576,7387089113,3.391606,2.747869,0.645559,0.671828,0.24452621,225.65479,0.11195566,1.8792096,0.81019706,0.044281237,0.02,0.645559,0.275997,4.151494,22.427743,0.35444149,0.549045,0.51865625,9,中国宝安,L1_013,L1_013_S01,L1_013_S01_S02,L1_013_S01_S02
9,中国宝安,2020,A,0.033519,0.080616,1932921312,2496225118,0.05936,0.132765,0.10079325,0.23562963,0.060675666,5.361011,68.270705,0.817937,447.467225,3.012864,1.101989,2.30315,0.332548,1.83201,1.093409,0.553563,9613386927,3.790644,1.284797,0.584217,0.53277,0.30177051,331.21927,0.061841741,0.61355042,0.33893886,0.02056534,0.03,0.584217,0.413998,5.135452,18.188507,0.41578314,0.711692,0.25400865,9,中国宝安,L1_013,L1_013_S01,L1_013_S01_S02,L1_013_S01_S02
9,中国宝安,2021,A,0.04745,0.112341,2580025146,3171810852,0.070209,0.122544,0.10021556,0.18069476,0.069592737,5.213349,70.012577,1.233483,295.910037,3.732926,2.076765,3.561634,0.47348,1.547886,0.890547,0.396345,8452291398,6.12005,-0.66246,0.577624,0.382357,0.22798929,175.75412,-0.015909875,-0.15875652,-0.10824417,-0.007533008,0.035,0.577624,0.682039,6.071166,21.157133,0.42237577,0.731231,-0.10827814,9,中国宝安,L1_013,L1_013_S01,L1_013_S01_S02,L1_013_S01_S02
